href,aria_label
https://www.thedailystar.net//tech-startup/news/realme-14-5g-budget-beast-built-mobile-gaming-3898766,Realme 14 5G: A budget beast built for mobile gaming 
https://www.thedailystar.net//tech-startup/news/robots-will-work-humans-not-replace-them-chinese-official-3898146,"Robots will work with humans, not replace them: Chinese official "
https://www.thedailystar.net//tech-startup/news/nvidia-announces-new-chip-linking-tech-support-custom-ai-3898046,Nvidia announces new chip-linking tech to support custom AI 
https://www.thedailystar.net//tech-startup/news/jobs-the-week-3898011,Jobs of the week 
https://www.thedailystar.net//tech-startup/news/disinformation-campaigns-target-women-and-minorities-bangladesh-study-3897691,Disinformation campaigns target women and minorities in Bangladesh: Study 
https://www.thedailystar.net//tech-startup/news/17-year-old-bangladeshi-hacks-nasa-receives-appreciation-letter-3897451,17-year-old Bangladeshi hacks NASA; receives appreciation letter 
https://www.thedailystar.net//tech-startup/news/three-bangladeshis-featured-forbes-30-under-30-asia-2025-3897356,Three Bangladeshis featured in Forbes 30 Under 30 Asia 2025 
https://www.thedailystar.net//books-literature/news/wash-your-fruits-3896316,Wash your fruits 
https://www.thedailystar.net//books-literature/news/sister-library-reads-sehri-tales-evening-pink-and-digital-3895596,Sister Library reads Sehri Tales: An evening of ‘Pink’ and ‘Digital’ 
https://www.thedailystar.net//books-literature/news/panic-puke-and-palahniuk-3894951,"Panic, puke and Palahniuk "
https://www.thedailystar.net//books-literature/news/the-importance-being-imperfect-3896311,The importance of being imperfect 
https://www.thedailystar.net//books-literature/news/5-books-my-5-year-old-cant-get-enough-3894946,5 books my 5-year-old can’t get enough of 
https://www.thedailystar.net//books-literature/news/faria-basher-named-asia-regional-winner-commonwealth-short-story-prize-3894546,Faria Basher named Asia Regional Winner of Commonwealth Short Story Prize 
https://www.thedailystar.net//books-literature/news/tamadi-alap-exploring-the-space-between-sound-and-silence-3893846,‘Tamadi Alap’: Exploring the space between sound and silence 
https://www.thedailystar.net//books-literature/news/motherhood-and-mahasweta-devis-breast-giver-3892376,On motherhood and Mahasweta Devi’s ‘Breast-Giver’ 
https://www.thedailystar.net//news/bangladesh/news/rains-thundershowers-likely-across-country-3898076,"Rains, thundershowers likely across country "
https://www.thedailystar.net//environment/news/man-jailed-hill-cutting-encroaching-govt-land-3897811,"Man jailed for hill cutting, encroaching govt land "
https://www.thedailystar.net//environment/climate-crisis/natural-disaster/news/abandoned-cyclone-shelter-turns-risky-kuakata-3897621,Abandoned cyclone shelter turns risky in Kuakata 
https://www.thedailystar.net//news/bangladesh/news/bargunas-taltali-upazila100-families-finally-have-access-safe-water-3897516,Barguna’s Taltali Upazila:100 families finally have access to safe water 
https://www.facebook.com/dailystarnews,facebook-f
https://www.youtube.com/channel/UCKSJ5rTXq-pYgAmAOhVS_zQ,youtube
http://twitter.com/dailystarnews,twitter
https://www.pinterest.com/thedailystar,pinterest
https://www.instagram.com/dailystar_bd/,instagram
